Sample	Coverage	FNR_Value	Hausdorff_Distance	Frechet_Distance	SSE	SSE_log10	Distance_Scale
gr_wolf.spain.SAMN04851099	4.0	0.0	560580664.5555555	560580664.5555555	210854766818.00986	24.008348518126926	psmc
gr_wolf.spain.SAMN04851099	4.0	0.01	565658102.3611112	574218484.6821548	210765714830.77283	23.779398511389395	psmc
gr_wolf.spain.SAMN04851099	4.0	0.02	570415522.3187075	588134627.6684808	209759648655.75595	23.318345422297718	psmc
gr_wolf.spain.SAMN04851099	4.0	0.03	576895347.8770334	602337701.4380296	209600644463.44315	23.06146735234206	psmc
gr_wolf.spain.SAMN04851099	4.0	0.04	583953160.522222	616836672.5777777	209886424449.78714	22.888971884202885	psmc
gr_wolf.spain.SAMN04851099	4.0	0.05	592097086.5263158	631640885.2152046	210260162606.74783	22.718846873531234	psmc
gr_wolf.spain.SAMN04851099	4.0	0.06	594503080.3477541	642732699.7280143	209240047427.9438	22.66993907029937	psmc
gr_wolf.spain.SAMN04851099	4.0	0.07	600333670.3327956	657181013.3109319	209148130130.21527	22.452314565145997	psmc
gr_wolf.spain.SAMN04851099	4.0	0.08	607626169.2533817	654866925.4234295	209080363885.58035	22.230628074614593	psmc
gr_wolf.spain.SAMN04851099	4.0	0.09	615086622.6553721	670993826.9109275	208937707231.09024	21.988818472925363	psmc
gr_wolf.spain.SAMN04851099	4.0	0.1	621506855.1111112	687479103.9870367	207981704773.64752	21.570215275975297	psmc
gr_wolf.spain.SAMN04851099	4.0	0.11	627505260.1959426	704334836.7277775	207917433887.59705	21.337686101575056	psmc
gr_wolf.spain.SAMN04851099	4.0	0.12	636896020.638889	721573654.303535	207988052101.96118	21.10031274100283	psmc
gr_wolf.spain.SAMN04851099	4.0	0.13	648781778.0028733	739208766.5362065	208355383681.5854	20.919454093148676	psmc
gr_wolf.spain.SAMN04851099	4.0	0.14	666827009.1246771	757253997.6580102	205285989273.21866	20.81540233838004	psmc
gr_wolf.spain.SAMN04851099	4.0	0.15	685296833.9199346	775723822.4532678	205049481166.19666	20.57781548613977	psmc
gr_wolf.spain.SAMN04851099	4.0	0.16	704206416.4484128	794633404.981746	204938725178.6668	20.3690552606746	psmc
gr_wolf.spain.SAMN04851099	4.0	0.17	723571651.5679384	813998640.1012716	203954555344.45868	19.975518923131744	psmc
gr_wolf.spain.SAMN04851099	4.0	0.18	743409209.4952573	833836198.0285904	203427186489.5365	19.667238327387434	psmc
gr_wolf.spain.SAMN04851099	4.0	0.19	763736583.6676954	854163572.2010286	203708275026.4384	19.50039760968069	psmc
gr_wolf.spain.SAMN04851099	4.0	0.2	784572142.1944445	874999130.7277777	203910446830.47488	19.293508243472818	psmc
gr_wolf.spain.SAMN04851099	4.0	0.21	805935183.2155412	896362171.7488744	198215381726.70236	19.12300408526708	psmc
gr_wolf.spain.SAMN04851099	4.0	0.22	827845994.5192305	918272983.0525637	197718170124.4624	18.873998902158597	psmc
gr_wolf.spain.SAMN04851099	4.0	0.23	850325917.8048338	940752906.338167	197323382038.9168	18.63931446628478	psmc
gr_wolf.spain.SAMN04851099	4.0	0.24	873397418.0190057	963824406.5523388	195880032170.41827	18.22574947093747	psmc
gr_wolf.spain.SAMN04851099	4.0	0.25	897084158.2388889	987511146.772222	195379800955.68665	17.970750243357035	psmc
gr_wolf.spain.SAMN04851099	4.0	0.26	921411080.626877	1011838069.1602101	195243042016.9768	17.752267820416996	psmc
gr_wolf.spain.SAMN04851099	4.0	0.27	946404494.0391935	1036831482.5725267	186875865052.11172	17.605459588834435	psmc
gr_wolf.spain.SAMN04851099	4.0	0.28	972092168.9351851	1062519157.4685183	186077250634.42	17.3845986178816	psmc
gr_wolf.spain.SAMN04851099	4.0	0.29	998503440.3071207	1088930428.8404539	185132860184.67935	17.12617238898057	psmc
gr_wolf.spain.SAMN04851099	4.0	0.3	1025669319.4325398	1116096307.965873	183367318518.80496	16.74522856101629	psmc
gr_wolf.spain.SAMN04851099	4.0	0.31	1053622615.3442029	1144049603.877536	182135753693.24838	16.446330214403343	psmc
gr_wolf.spain.SAMN04851099	4.0	0.32	1082398067.017974	1172825055.5513072	181475039531.1628	16.217426863310738	psmc
gr_wolf.spain.SAMN04851099	4.0	0.33	561746622.0543118	561746622.0543118	168716939037.00104	16.004562220271282	psmc
gr_wolf.spain.SAMN04851099	4.0	0.34	556574478.4722222	556574478.4722222	167130094682.64172	15.772188758020421	psmc
gr_wolf.spain.SAMN04851099	4.0	0.35	551243192.0106838	551243192.0106838	165551594013.54077	15.539702302194744	psmc
gr_wolf.spain.SAMN04851099	4.0	0.36	545745302.8472222	545745302.8472222	162608592878.54156	15.125407343435901	psmc
gr_wolf.spain.SAMN04851099	4.0	0.37	540072877.5198412	540072877.5198412	160819073438.37018	14.864091754786624	psmc
gr_wolf.spain.SAMN04851099	4.0	0.38	548103048.8664875	592084636.4650538	159576038785.7026	14.655496344754466	psmc
gr_wolf.spain.SAMN04851099	4.0	0.39	542283293.9549179	586985891.1862477	157978834441.63666	14.480996412758842	psmc
gr_wolf.spain.SAMN04851099	4.0	0.4	536269547.2129629	581717187.7314816	156017465898.0695	14.218366640845186	psmc
gr_wolf.spain.SAMN04851099	4.0	0.41	530051944.64924675	576269884.1596045	153205670584.03687	13.876694621885544	psmc
