Sample	Coverage	Best_FNR_Hausdorff	Min_Hausdorff	SSE_at_Best_Hausdorff	SSE_log10_at_Best_Hausdorff	Best_FNR_Frechet	Min_Frechet	SSE_at_Best_Frechet	SSE_log10_at_Best_Frechet	Distance_Scale
gr_wolf.spain.SAMN04851099	4.0	0.79	195912512.18835962	11407566250.258213	0.6081685731098377	0.8	197407555.30555594	10909450258.111382	0.6231506540461468	psmc
gr_wolf.spain.SAMN04851099	5.0	0.69	124638471.82652344	10058758836.30638	0.9990477930002006	0.7	139952894.4166665	5872955296.9000225	0.2710042143935228	psmc
gr_wolf.spain.SAMN04851099	6.0	0.6	90781878.26111102	6814940613.466563	0.824996666288472	0.6	100173684.18333328	6814940613.466563	0.824996666288472	psmc
gr_wolf.spain.SAMN04851099	7.0	0.52	63167757.70833337	5906276805.20633	0.8087991105338662	0.52	64899855.84166682	5906276805.20633	0.8087991105338662	psmc
gr_wolf.spain.SAMN04851099	8.0	0.44	60498549.9396826	5155631796.053711	0.7743899524382793	0.45	67591429.04292917	1705772678.3722336	0.06327035145741249	psmc
gr_wolf.spain.SAMN04851099	9.0	0.35	29858593.94700853	5040961752.227893	0.7959815967607977	0.37	49139457.585978985	5700866665.171204	0.8329817773727252	psmc
gr_wolf.spain.SAMN04851099	10.0	0.29	31685816.750547647	4553466452.950137	0.7693263464283726	0.3	38578412.86111128	4864824705.784736	0.7866786952695549	psmc
gr_wolf.spain.SAMN04851099	11.0	0.22	21013357.001139704	5144980506.910671	0.8183437169094738	0.24	43224403.01666665	404654993.05575705	0.01501924701748827	psmc
gr_wolf.spain.SAMN04851099	12.0	0.18	15803582.970867276	5558965468.258847	0.8456625783638141	0.18	42943093.14796746	5558965468.258847	0.8456625783638141	psmc
gr_wolf.spain.SAMN04851099	13.0	0.13	6123241.94923389	5308658203.097932	0.8290611307958256	0.13	39186330.47528732	5308658203.097932	0.8290611307958256	psmc
gr_wolf.spain.SAMN04851099	14.0	0.09	4935618.061111093	5166393340.652597	0.8212863497233914	0.09	32698403.01581216	5166393340.652597	0.8212863497233914	psmc
gr_wolf.spain.SAMN04851099	15.0	0.06	5346884.431678443	5259630392.02251	0.8278111650950876	0.05	31123103.155263305	5162263425.451583	0.8206553130934279	psmc
