Sample,Coverage,FNR_Value,Hausdorff_Distance,Frechet_Distance,SSE,SSE_log10,Distance_Scale
gr_wolf.spain.SAMN04851099,4.0,0.79,195912512.18835962,224145359.88597882,11407566250.258213,0.6081685731098377,psmc
gr_wolf.spain.SAMN04851099,5.0,0.69,124638471.82652344,147276169.18620086,10058758836.30638,0.9990477930002006,psmc
gr_wolf.spain.SAMN04851099,6.0,0.6,90781878.26111102,100173684.18333328,6814940613.466563,0.824996666288472,psmc
gr_wolf.spain.SAMN04851099,7.0,0.52,63167757.70833337,64899855.84166682,5906276805.20633,0.8087991105338662,psmc
gr_wolf.spain.SAMN04851099,8.0,0.44,60498549.9396826,69890355.86190486,5155631796.053711,0.7743899524382793,psmc
gr_wolf.spain.SAMN04851099,9.0,0.35,29858593.94700853,62181245.66538477,5040961752.227893,0.7959815967607977,psmc
gr_wolf.spain.SAMN04851099,10.0,0.29,31685816.750547647,47984141.675978184,4553466452.950137,0.7693263464283726,psmc
gr_wolf.spain.SAMN04851099,11.0,0.22,21013357.001139704,54307535.38048446,5144980506.910671,0.8183437169094738,psmc
gr_wolf.spain.SAMN04851099,12.0,0.18,15803582.970867276,42943093.14796746,5558965468.258847,0.8456625783638141,psmc
gr_wolf.spain.SAMN04851099,13.0,0.13,6123241.94923389,39186330.47528732,5308658203.097932,0.8290611307958256,psmc
gr_wolf.spain.SAMN04851099,14.0,0.09,4935618.061111093,32698403.01581216,5166393340.652597,0.8212863497233914,psmc
gr_wolf.spain.SAMN04851099,15.0,0.06,5346884.431678443,36915545.815130234,5259630392.02251,0.8278111650950876,psmc
